Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
panna-pearl-bhaiya-bhabhi-rakhi-lumba-set,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1785528497/038_3_nyvr50.png,2,Panna Pearl Bhaiya Bhabhi Rakhi Lumba Set - Image 2,,,
panna-pearl-bhaiya-bhabhi-rakhi-lumba-set,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1785528496/038_4_xbmcgl.png,3,Panna Pearl Bhaiya Bhabhi Rakhi Lumba Set - Image 3,,,
nazar-noor-bhaiya-bhabhi-rakhi-lumba-set,Nazar Noor Bhaiya Bhabhi Rakhi Lumba Set,"<p>Celebrate Raksha Bandhan with blessings, style, and protection through Delisha Karigari's Nazar Noor Bhaiya Bhabhi Set. Designed with vibrant evil eye charms, intricate stone embellishments, pearl detailing, and a handcrafted designer lumba, this premium set symbolizes love, prosperity, and protection from negative energy. Thoughtfully crafted for Bhaiya & Bhabhi, it's a festive keepsake they'll treasure long after the celebrations.</p>",Delisha Karigari,Arts & Entertainment > Party & Celebration > Gift Giving > Gift Wrapping,Nazariya Collection,"Bhaiya Bhabhi, Festive, Gift, Handcrafted, Lumba, Nazariya, Nazariya Collection, Rakhi, Set",TRUE,Title,Default Title,DK-041,100,shopify,20,deny,manual,999.00,,TRUE,TRUE,https://res.cloudinary.com/m5yixuhw/image/upload/v1785528497/041_2_jshjvx.png,1,Nazar Noor Bhaiya Bhabhi Rakhi Lumba Set,Nazar Noor Bhaiya Bhabhi Rakhi Lumba Set | Delisha Karigari,"Protect your loved ones with the elegance of the Nazar Noor Bhaiya Bhabhi Set, featuring handcrafted evil eye motifs, premium beads, and a beautifully coordinat",active
nazar-noor-bhaiya-bhabhi-rakhi-lumba-set,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1785528495/041_3_pbew1r.png,2,Nazar Noor Bhaiya Bhabhi Rakhi Lumba Set - Image 2,,,
shree-gajraj-pearl-rakhi-lumba-ring-set,Shree Gajraj Pearl Rakhi Lumba Ring Set,"<p>Celebrate with the blessings of Ganpati through Delisha Karigari’s Shree Gajraj Pearl Rakhi Set. Featuring a statement pearl lumba, coordinating designer rakhi and Ganpati motif, this premium Bhaiya Bhabhi Rakhi set blends traditional Indian symbolism with festive elegance. A meaningful Raksha Bandhan gift for celebrating love, prosperity and new beginnings.</p>",Delisha Karigari,Arts & Entertainment > Party & Celebration > Gift Giving > Gift Wrapping,Royal Pearl Rakhi Collection,"Bhaiya Bhabhi, Festive, Gift, Handcrafted, Lumba, Pearl, Rakhi, Ring, Royal Pearl Rakhi Collection, Set",TRUE,Title,Default Title,DK-043,100,shopify,20,deny,manual,999.00,,TRUE,TRUE,https://res.cloudinary.com/m5yixuhw/image/upload/v1785579167/043_2_mscblx.png,1,Shree Gajraj Pearl Rakhi Lumba Ring Set,Shree Gajraj Pearl Rakhi Lumba Ring Set | Delisha Karigari,"An auspicious Ganpati-inspired Bhaiya Bhabhi Rakhi set featuring elegant pearl strands, colourful beads and sparkling stone detailing crafted for a beautiful an",active
shree-gajraj-pearl-rakhi-lumba-ring-set,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1785579167/043_3_qvmjz0.png,2,Shree Gajraj Pearl Rakhi Lumba Ring Set - Image 2,,,
shree-gajraj-pearl-rakhi-lumba-ring-set,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1785579166/043_1_dummmv.png,3,Shree Gajraj Pearl Rakhi Lumba Ring Set - Image 3,,,
shagun-pearl-rakhi-lumba-ring-set,Shagun Pearl Rakhi Lumba Ring Set,"<p>Celebrate Raksha Bandhan with Delisha Karigari’s Shagun Pearl Rakhi Lumba Ring Set. Featuring an auspicious tortoise-inspired motif, luxurious pearl lumba, colourful bead accents and a matching designer rakhi, this premium Bhaiya Bhabhi set beautifully combines traditional Indian aesthetics with festive elegance. A distinctive Raksha Bandhan gift crafted for memorable celebrations.</p>",Delisha Karigari,Arts & Entertainment > Party & Celebration > Gift Giving > Gift Wrapping,Royal Pearl Rakhi Collection,"Bhaiya Bhabhi, Festive, Gift, Handcrafted, Lumba, Pearl, Rakhi, Ring, Royal Pearl Rakhi Collection, Set",TRUE,Title,Default Title,DK-044,100,shopify,20,deny,manual,999.00,,TRUE,TRUE,https://res.cloudinary.com/m5yixuhw/image/upload/v1785579168/044_2_i5jjy2.png,1,Shagun Pearl Rakhi Lumba Ring Set,Shagun Pearl Rakhi Lumba Ring Set | Delisha Karigari,"A statement Bhaiya Bhabhi Rakhi set featuring traditional tortoise motifs, layered pearls, vibrant festive beads and elegant stone detailing.",active
shagun-pearl-rakhi-lumba-ring-set,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1785579169/044_3_djxdh6.png,2,Shagun Pearl Rakhi Lumba Ring Set - Image 2,,,
shagun-pearl-rakhi-lumba-ring-set,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1785579169/044_4_ekm438.png,3,Shagun Pearl Rakhi Lumba Ring Set - Image 3,,,
shagun-pearl-rakhi-lumba-ring-set,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1785579167/044_1_ltebrx.png,4,Shagun Pearl Rakhi Lumba Ring Set - Image 4,,,
mor-mahal-pearl-bhaiya-bhabhi-rakhi-lumba-ring-set,Mor Mahal Pearl Bhaiya Bhabhi Rakhi Lumba Ring Set,"<p>Celebrate Raksha Bandhan with Delisha Karigari’s Mor Mahal Pearl Bhaiya Bhabhi Rakhi Set. Designed around an intricate peacock motif, the set pairs rich royal blue accents with lustrous pearls, sparkling stone detailing and elegant golden elements. Complete with a Rakhi for Bhaiya, pearl Lumba for Bhabhi and matching peacock ring, it makes a distinctive Raksha Bandhan gift for your brother and sister-in-law.</p>",Delisha Karigari,Arts & Entertainment > Party & Celebration > Gift Giving > Gift Wrapping,Royal Pearl Rakhi Collection,"Bhaiya Bhabhi, Festive, Gift, Handcrafted, Lumba, Pearl, Rakhi, Ring, Royal Pearl Rakhi Collection, Set",TRUE,Title,Default Title,DK-045,100,shopify,20,deny,manual,999.00,,TRUE,TRUE,https://res.cloudinary.com/m5yixuhw/image/upload/v1785579169/045_2_zx0tiu.png,1,Mor Mahal Pearl Bhaiya Bhabhi Rakhi Lumba Ring Set,Mor Mahal Pearl Bhaiya Bhabhi Rakhi Lumba Ring Set | Delisha Karigari,"A regal peacock-themed Bhaiya Bhabhi Rakhi set featuring a blue peacock Rakhi, an elegant multi-strand pearl Lumba with blue bead hangings, and a matching state",active
mor-mahal-pearl-bhaiya-bhabhi-rakhi-lumba-ring-set,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1785579166/045_3_vxerkk.png,2,Mor Mahal Pearl Bhaiya Bhabhi Rakhi Lumba Ring Set - Image 2,,,
mor-mahal-pearl-bhaiya-bhabhi-rakhi-lumba-ring-set,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1785579169/045_1_ubeqhc.png,3,Mor Mahal Pearl Bhaiya Bhabhi Rakhi Lumba Ring Set - Image 3,,,
shree-krishna-blessings-rakhi-duo,Shree Krishna Blessings Rakhi Duo,"<p>Celebrate the sacred bond of Raksha Bandhan with Delisha Karigari’s Shree Krishna Blessings Rakhi Duo. Featuring a traditional Radha Krishna centerpiece, colourful beads, golden detailing and a complementary beaded Rakhi, this set beautifully blends spirituality with contemporary festive style. Ideal as a Rakhi set for 2 brothers or a meaningful Krishna-inspired Raksha Bandhan gift.</p>",Delisha Karigari,Arts & Entertainment > Party & Celebration > Gift Giving > Gift Wrapping,Blessed Collection,"Blessed Collection, Festive, Gift, Handcrafted, Krishna, Rakhi, Set",TRUE,Title,Default Title,DK-046,100,shopify,20,deny,manual,599.00,,TRUE,TRUE,https://res.cloudinary.com/m5yixuhw/image/upload/v1785579166/046_2_ilj2jo.png,1,Shree Krishna Blessings Rakhi Duo,Shree Krishna Blessings Rakhi Duo | Delisha Karigari,"A festive set of 2 designer Rakhis, featuring a beautiful Radha Krishna motif Rakhi paired with an elegant neutral beaded Rakhi perfect for celebrating brothers",active
shree-krishna-blessings-rakhi-duo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1785579167/046_3_yjueel.png,2,Shree Krishna Blessings Rakhi Duo - Image 2,,,
rangrez-designer-rakhi-duo,Rangrez Designer Rakhi Duo,"<p>Delisha Karigari’s Rangrez Designer Rakhi Duo brings together traditional Indian detailing with festive red, blue and gold accents. Designed with decorative stone centrepieces and elegant beadwork, this Rakhi set for 2 brothers is a beautiful choice for a colourful and traditional Raksha Bandhan celebration.</p>",Delisha Karigari,Arts & Entertainment > Party & Celebration > Gift Giving > Gift Wrapping,Festive Rakhi Collection,"Festive, Festive Rakhi Collection, Gift, Handcrafted, Rakhi, Set",TRUE,Title,Default Title,DK-047,100,shopify,20,deny,manual,599.00,,TRUE,TRUE,https://res.cloudinary.com/m5yixuhw/image/upload/v1785579169/047_3_ebmsfl.png,1,Rangrez Designer Rakhi Duo,Rangrez Designer Rakhi Duo | Delisha Karigari,"A vibrant set of 2 designer Rakhis featuring colourful stones, beads, pearls and golden detailing—perfect for celebrating Raksha Bandhan with two brothers.",active
rangrez-designer-rakhi-duo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1785579170/047_5_beuv7u.png,2,Rangrez Designer Rakhi Duo - Image 2,,,
rangrez-designer-rakhi-duo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1785579168/047_1_drzn4p.png,3,Rangrez Designer Rakhi Duo - Image 3,,,
shubh-ganesha-krishna-rakhi-duo,Shubh Ganesha & Krishna Rakhi Duo,"<p>Celebrate Raksha Bandhan with divine blessings through Delisha Karigari’s Shubh Ganesha & Krishna Rakhi Duo. Featuring auspicious deity-inspired motifs with colourful beads and traditional detailing, this Rakhi set for 2 brothers beautifully combines devotion, protection and festive charm.</p>",Delisha Karigari,Arts & Entertainment > Party & Celebration > Gift Giving > Gift Wrapping,Blessed Collection,"Blessed Collection, Festive, Ganesh, Gift, Handcrafted, Krishna, Rakhi, Set",TRUE,Title,Default Title,DK-048,100,shopify,20,deny,manual,599.00,,TRUE,TRUE,https://res.cloudinary.com/m5yixuhw/image/upload/v1785579170/048_2_xkt7yp.png,1,Shubh Ganesha & Krishna Rakhi Duo,Shubh Ganesha & Krishna Rakhi Duo | Delisha Karigari,"A colourful set of 2 auspicious Rakhis featuring Ganesha and Krishna-inspired motifs, finished with multicoloured beads and traditional golden detailing.",active
shubh-ganesha-krishna-rakhi-duo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1785579171/048_3_m0gu8h.png,2,Shubh Ganesha & Krishna Rakhi Duo - Image 2,,,
shubh-ganesha-krishna-rakhi-duo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1785579170/048_1_yp9r6p.png,3,Shubh Ganesha & Krishna Rakhi Duo - Image 3,,,
shubh-gaumata-rakhi-duo,Shubh Gaumata Rakhi Duo,"<p>Delisha Karigari’s Shubh Gaumata Rakhi Duo combines auspicious Indian symbolism with colourful beads, golden accents and sparkling stone detailing. This designer Rakhi set for 2 brothers is a beautiful choice for gifting blessings, love and protection this Raksha Bandhan.</p>",Delisha Karigari,Arts & Entertainment > Party & Celebration > Gift Giving > Gift Wrapping,Blessed Collection,"Blessed Collection, Festive, Gift, Handcrafted, Rakhi, Set",TRUE,Title,Default Title,DK-049,100,shopify,20,deny,manual,599.00,,TRUE,TRUE,https://res.cloudinary.com/m5yixuhw/image/upload/v1785579171/049_3_fblcnw.png,1,Shubh Gaumata Rakhi Duo,Shubh Gaumata Rakhi Duo | Delisha Karigari,"A vibrant set of 2 traditional Rakhis, featuring an auspicious Gaumata motif and colourful festive detailing, designed for a meaningful Raksha Bandhan celebrati",active
shubh-gaumata-rakhi-duo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1785579171/049_2_ytlpiu.png,2,Shubh Gaumata Rakhi Duo - Image 2,,,
shubh-gaumata-rakhi-duo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1785579171/049_1_rmadej.png,3,Shubh Gaumata Rakhi Duo - Image 3,,,
shri-radha-krishna-nazariya-rakhi-trio,Shri Radha Krishna Nazariya Rakhi Trio,"<p>Delisha Karigari’s Shri Radha Krishna Nazariya Rakhi Trio combines divine symbolism with contemporary evil-eye detailing. Featuring 3 Rakhis for brothers in beautiful blue, pearl and multicolour accents, this set is ideal for celebrating Raksha Bandhan with blessings, protection and festive elegance.</p>",Delisha Karigari,Arts & Entertainment > Party & Celebration > Gift Giving > Gift Wrapping,Blessed Collection,"Blessed Collection, Festive, Gift, Handcrafted, Krishna, Nazariya, Rakhi, Set",TRUE,Title,Default Title,DK-500,100,shopify,20,deny,manual,699.00,,TRUE,TRUE,https://res.cloudinary.com/m5yixuhw/image/upload/v1785579171/050_2_muhpz7.png,1,Shri Radha Krishna Nazariya Rakhi Trio,Shri Radha Krishna Nazariya Rakhi Trio | Delisha Karigari,"A meaningful set of 3 designer Rakhis featuring Shri Radha Krishna, evil eye motifs and elegant blue-toned beadwork for a festive blend of blessings and protect",active
shri-radha-krishna-nazariya-rakhi-trio,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1785579172/050_3_otmd4v.png,2,Shri Radha Krishna Nazariya Rakhi Trio - Image 2,,,
shri-radha-krishna-nazariya-rakhi-trio,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1785579171/050_1_eb3itd.png,3,Shri Radha Krishna Nazariya Rakhi Trio - Image 3,,,
